Title,Year,Source title,Document Type,DOI,venue_classification,selection_status_existing,IC1_domain_context,IC2_ml_ai_data_driven,IC3_lifecycle_workflow_toolchain,IC4_core_rq_alignment_proxy,IC5_peer_reviewed_type_proxy,IC6_ranked_venue_Q1Q2_or_A_B,EC1_non_target_document_type,EC2_low_or_missing_venue_classification,EC3_isolated_task_paper_no_process_focus,EC4_runtime_or_acceleration_only_proxy,EC5_generic_ml_not_domain_specific,EC6_generic_process_not_domain_specific,IC,EC,Accepted
TVM: An automated end-to-end optimizing compiler for deep learning,2018,USENIX conference on Operating Systems Design and Implementation,Conference,N.A.,N.A.,,0,1,1,0,1,0,0,1,0,0,1,1,3,3,FALSO
"High-Level Synthesis Performance Prediction using GNNs: Benchmarking, Modeling, and Advancing",2022,ACM/IEEE Design Automation Conference,Conference,10.1145/3489517.3530408,A*,,1,1,0,1,1,1,0,0,1,0,0,0,5,1,VERO
Machine Learning Based Framework for Fast Resource Estimation of RTL Designs Targeting FPGAs,2022,ACM Transactions on Design Automation of Electronic Systems,Journal,10.1145/3555047,Q1,,1,1,1,1,1,1,0,0,0,0,0,0,6,0,VERO
Leveraging Machine Learning for Gate-level Timing Estimation Using Current Source Models and Effective Capacitance,2022,Great Lakes Symposium on VLSI,Conference,10.1145/3526241.3530343,N.A.,,1,1,0,1,1,0,0,1,1,0,0,0,4,2,FALSO
A Comprehensive Survey on Electronic Design Automation and Graph Neural Networks: Theory and Applications,2023,ACM Transactions on Design Automation of Electronic Systems,Journal,10.1145/3543853,Q1,,1,1,0,1,1,1,0,0,0,0,0,0,5,0,VERO
AI-based estimation of embedded software execution cycles in host-compiled simulation,2024,Conference on Design of Circuits and Integrated Systems (DCIS),Conference,10.1109/DCIS62603.2024.10769196,C,,1,1,0,1,1,0,0,1,1,0,0,0,4,2,FALSO
Large Language Models for EDA: Future or Mirage?,2024,International Symposium on Physical Design,Conference,10.1145/3626184.3639700,N.A.,,1,1,0,1,1,0,0,1,0,0,0,0,4,1,FALSO
Deep Learning on RISC-V Platforms at the Edge: APerspective on the Hardware and Software Support,2025,ACM Computing Surveys,Journal,10.1145/3772277,Q1,,1,1,0,1,1,1,0,0,0,1,0,0,5,1,VERO
Leveraging Incremental Machine Learning forReconfigurable Systems Modeling under Dynamic Workloads,2025,ACM Transactions on Reconfigurable Technology and Systems,Journal,10.1145/3715154,Q1,,1,1,0,1,1,1,0,0,0,1,0,0,5,1,VERO
Special Session: Machine Learning for Embedded System Design,2023,International Conference on Hardware/Software Codesign and System Synthesis,Workshop,10.1145/3607888.360896,N.A.,,1,1,0,1,0,0,1,1,0,0,0,0,3,2,FALSO
